Time (s),Voltage (V),Current (A)
0,0.04875,1.17E-08
0.001,0.05,4.20E-09
0.002,0.04999,5.70E-09
0.003,0.05,5.90E-09
0.004,0.05,5.70E-09
0.005,0.05,5.70E-09
0.006,0.05,6.50E-09
0.007,-0.04752,-2.11E-08
0.008,-0.05,-4.00E-10
0.009,-0.05001,-1.00E-09
0.01,-0.05,-1.70E-09
0.011,-0.05001,-3.60E-09
0.012,-0.05,-5.10E-09
0.013,-0.05,-5.30E-09
0.014,0.05723,2.61E-08
0.015,0.05999,5.70E-09
0.016,0.06,5.10E-09
0.017,0.06,4.40E-09
0.018,0.06,2.00E-09
0.019,0.06,2.60E-09
0.02,0.05999,3.40E-09
0.021,-0.03752,-2.34E-08
0.022,-0.04001,-3.40E-09
0.023,-0.04001,-3.30E-09
0.024,-0.04,-3.40E-09
0.025,-0.04001,-3.30E-09
0.026,-0.04,-2.70E-09
0.027,-0.04001,-1.80E-09
0.028,0.06726,3.20E-08
0.029,0.06999,1.13E-08
0.03,0.06999,1.04E-08
0.031,0.07,8.60E-09
0.032,0.06999,7.10E-09
0.033,0.07,6.90E-09
0.034,0.07,6.90E-09
0.035,-0.02752,-2.17E-08
0.036,-0.03,-3.80E-09
0.037,-0.03,-4.90E-09
0.038,-0.03001,-7.00E-09
0.039,-0.03,-6.40E-09
0.04,-0.03001,-5.50E-09
0.041,-0.03,-3.80E-09
0.042,0.07726,2.92E-08
0.043,0.08,8.90E-09
0.044,0.08,8.80E-09
0.045,0.08,8.90E-09
0.046,0.07999,9.40E-09
0.047,0.08,1.02E-08
0.048,0.07999,1.26E-08
0.049,-0.01749,-1.64E-08
0.05,-0.02,1.30E-09
0.051,-0.02001,-5.00E-10
0.052,-0.02,-2.00E-09
0.053,-0.02,-2.20E-09
0.054,-0.02,-2.10E-09
0.055,-0.02,-2.00E-09
0.056,0.08725,2.86E-08
0.057,0.08999,7.40E-09
0.058,0.09,5.20E-09
0.059,0.09,5.80E-09
0.06,0.09,6.40E-09
0.061,0.08999,8.10E-09
0.062,0.08999,9.80E-09
0.063,-0.00751,-1.85E-08
0.064,-0.01001,-3.00E-10
0.065,-0.01,-3.00E-10
0.066,-0.01,4.00E-10
0.067,-0.01,1.10E-09
0.068,-0.01,3.50E-09
0.069,-0.01,2.90E-09
0.07,0.09726,3.34E-08
0.071,0.1,1.14E-08
0.072,0.09999,9.90E-09
0.073,0.1,9.70E-09
0.074,0.1,9.90E-09
0.075,0.1,9.90E-09
0.076,0.1,9.20E-09
0.077,0.00249,-2.01E-08
0.078,0,-4.00E-09
0.079,0,-3.40E-09
0.08,0,-2.50E-09
0.081,0,-9.00E-10
0.082,0,7.00E-10
0.083,0,1.00E-09
0.084,0.10723,3.20E-08
0.085,0.11,1.17E-08
0.086,0.11,1.23E-08
0.087,0.11,1.32E-08
0.088,0.10999,1.57E-08
0.089,0.11,1.50E-08
0.09,0.11,1.41E-08
0.091,0.01249,-1.61E-08
0.092,0.01,9.00E-10
0.093,0.01,5.00E-10
0.094,0.01,7.00E-10
0.095,0.01,7.00E-10
0.096,0.01,1.00E-10
0.097,0.01,-8.00E-10
0.098,0.11726,2.83E-08
0.099,0.12,8.50E-09
0.1,0.12,9.30E-09
0.101,0.12,1.10E-08
0.102,0.11999,1.27E-08
0.103,0.12,1.30E-08
0.104,0.12,1.29E-08
0.105,0.02249,-1.55E-08
0.106,0.01999,3.60E-09
0.107,0.02,4.00E-09
0.108,0.02,6.50E-09
0.109,0.02,5.90E-09
0.11,0.02,5.00E-09
0.111,0.02,3.40E-09
0.112,0.12726,3.33E-08
0.113,0.13,1.27E-08
0.114,0.13,1.29E-08
0.115,0.13,1.28E-08
0.116,0.13,1.23E-08
0.117,0.13,1.12E-08
0.118,0.13,8.90E-09
0.119,0.03249,-1.90E-08
0.12,0.02999,3.00E-10
0.121,0.03,1.90E-09
0.122,0.03,3.50E-09
0.123,0.03,3.90E-09
0.124,0.02999,3.70E-09
0.125,0.02999,3.70E-09
0.126,0.13726,3.56E-08
0.127,0.13999,1.59E-08
0.128,0.14,1.85E-08
0.129,0.13999,1.77E-08
0.13,0.13999,1.70E-08
0.131,0.14,1.53E-08
0.132,0.14,1.39E-08
0.133,0.04249,-1.48E-08
0.134,0.04,3.80E-09
0.135,0.04,3.60E-09
0.136,0.04,3.10E-09
0.137,0.04,2.20E-09
0.138,0.04,-1.00E-10
0.139,0.04,4.00E-10
0.14,0.14726,3.26E-08
0.141,0.15,1.41E-08
0.142,0.15,1.57E-08
0.143,0.15,1.60E-08
0.144,0.14999,1.59E-08
0.145,0.14999,1.59E-08
0.146,0.15,1.64E-08
0.147,0.05249,-1.14E-08
0.148,0.05,9.70E-09
0.149,0.05,9.10E-09
0.15,0.05,8.20E-09
0.151,0.05,6.40E-09
0.152,0.05,5.00E-09
0.153,0.05,4.90E-09
0.154,0.15726,3.62E-08
0.155,0.16,1.59E-08
0.156,0.16,1.54E-08
0.157,0.16,1.44E-08
0.158,0.15999,1.22E-08
0.159,0.16,1.26E-08
0.16,0.16,1.36E-08
0.161,0.06249,-1.33E-08
0.162,0.06,6.80E-09
0.163,0.06,6.90E-09
0.164,0.06,6.90E-09
0.165,0.06,7.00E-09
0.166,0.05999,7.50E-09
0.167,0.05999,8.20E-09
0.168,0.16726,4.20E-08
0.169,0.16999,2.11E-08
0.17,0.17,2.03E-08
0.171,0.17,1.86E-08
0.172,0.17,1.72E-08
0.173,0.17,1.68E-08
0.174,0.16999,1.70E-08
0.175,0.07249,-1.15E-08
0.176,0.07,6.30E-09
0.177,0.07,5.30E-09
0.178,0.07,3.10E-09
0.179,0.07,3.70E-09
0.18,0.07,4.30E-09
0.181,0.06999,5.90E-09
0.182,0.17726,3.89E-08
0.183,0.18,1.89E-08
0.184,0.18,1.89E-08
0.185,0.18,1.90E-08
0.186,0.18,1.95E-08
0.187,0.18,2.03E-08
0.188,0.18,2.27E-08
0.189,0.08249,-6.20E-09
0.19,0.07999,1.13E-08
0.191,0.08,9.70E-09
0.192,0.08,8.30E-09
0.193,0.07999,7.90E-09
0.194,0.08,8.10E-09
0.195,0.08,8.10E-09
0.196,0.18725,3.87E-08
0.197,0.18999,1.74E-08
0.198,0.19,1.51E-08
0.199,0.19,1.55E-08
0.2,0.18999,1.63E-08
0.201,0.19,1.81E-08
0.202,0.18999,1.96E-08
0.203,0.09251,-8.50E-09
0.204,0.09,9.60E-09
0.205,0.09,9.70E-09
0.206,0.09,1.03E-08
0.207,0.09,1.13E-08
0.208,0.09,1.37E-08
0.209,0.09,1.32E-08
0.21,0.19725,4.34E-08
0.211,0.2,2.15E-08
0.212,0.2,2.01E-08
0.213,0.2,1.97E-08
0.214,0.2,1.99E-08
0.215,0.2,1.99E-08
0.216,0.2,1.93E-08
0.217,0.10249,-1.01E-08
0.218,0.1,6.00E-09
0.219,0.1,6.60E-09
0.22,0.09999,7.50E-09
0.221,0.09999,9.10E-09
0.222,0.1,1.08E-08
0.223,0.1,1.10E-08
0.224,0.20726,4.22E-08
0.225,0.21,2.18E-08
0.226,0.21,2.24E-08
0.227,0.21,2.32E-08
0.228,0.21,2.57E-08
0.229,0.20999,2.51E-08
0.23,0.20999,2.42E-08
0.231,0.11249,-6.10E-09
0.232,0.11,1.09E-08
0.233,0.11,1.07E-08
0.234,0.10999,1.09E-08
0.235,0.11,1.07E-08
0.236,0.11,1.02E-08
0.237,0.11,9.20E-09
0.238,0.21723,3.84E-08
0.239,0.22,1.86E-08
0.24,0.22,1.95E-08
0.241,0.22,2.12E-08
0.242,0.22,2.27E-08
0.243,0.21999,2.30E-08
0.244,0.22,2.27E-08
0.245,0.12249,-5.70E-09
0.246,0.12,1.33E-08
0.247,0.12,1.40E-08
0.248,0.12,1.65E-08
0.249,0.12,1.60E-08
0.25,0.12,1.52E-08
0.251,0.12,1.35E-08
0.252,0.22725,4.34E-08
0.253,0.23,2.28E-08
0.254,0.23,2.29E-08
0.255,0.23,2.29E-08
0.256,0.23,2.24E-08
0.257,0.22999,2.15E-08
0.258,0.23,1.91E-08
0.259,0.13249,-8.80E-09
0.26,0.13,1.04E-08
0.261,0.13,1.21E-08
0.262,0.13,1.38E-08
0.263,0.12999,1.41E-08
0.264,0.12999,1.37E-08
0.265,0.13,1.38E-08
0.266,0.23725,4.58E-08
0.267,0.24,2.64E-08
0.268,0.24,2.89E-08
0.269,0.24,2.82E-08
0.27,0.24,2.74E-08
0.271,0.24,2.55E-08
0.272,0.24,2.41E-08
0.273,0.14251,-4.50E-09
0.274,0.14,1.40E-08
0.275,0.13999,1.39E-08
0.276,0.14,1.32E-08
0.277,0.14,1.26E-08
0.278,0.14,1.01E-08
0.279,0.14,1.06E-08
0.28,0.24725,4.28E-08
0.281,0.25,2.41E-08
0.282,0.25,2.57E-08
0.283,0.25,2.59E-08
0.284,0.24999,2.58E-08
0.285,0.25,2.58E-08
0.286,0.25,2.65E-08
