Time (s),Voltage (V),Current (A)
0.0,0.04875,6.5e-09
0.001,0.05,-2.4e-09
0.002,0.05,-2.3e-09
0.003,0.05,-9e-10
0.004,0.05,0.0
0.005,0.05,1.2e-09
0.006,0.05,1e-09
0.007,0.05,1e-09
0.008,0.05,1.2e-09
0.009000000000000001,0.05,1.6e-09
0.01,0.05,3.2e-09
0.011,0.05,3.5000000000000003e-09
0.012,0.05,3.4000000000000003e-09
0.013000000000000001,0.05,1.9e-09
0.014,0.05,1e-09
0.015,0.05,-4e-10
0.016,0.05,0.0
0.017,0.05,1e-10
0.018000000000000002,0.05,-3e-10
0.019,0.05,-4e-10
0.02,-0.04752000000000001,-2.0200000000000002e-08
0.021,-0.05,-2.6e-09
0.022,-0.05,-2.7e-09
0.023,-0.050010000000000006,-1.3e-09
0.024,-0.05,-3e-10
0.025,-0.05,1e-09
0.026000000000000002,-0.05,7.000000000000001e-10
0.027,-0.05,6e-10
0.028,-0.05,1e-09
0.029,-0.05,1.2e-09
0.03,-0.050010000000000006,3.1e-09
0.031,-0.05,3.1e-09
0.032,-0.05,3e-09
0.033,-0.050010000000000006,1.7000000000000001e-09
0.034,-0.05,8e-10
0.035,-0.05,-2e-10
0.036000000000000004,-0.05,-2e-10
0.037,-0.05,-3e-10
0.038,-0.05,-5e-10
0.039,-0.05,-7.000000000000001e-10
0.04,0.057260000000000005,1.69e-08
0.041,0.060000000000000005,-2.4e-09
0.042,0.060000000000000005,-2.6e-09
0.043000000000000003,0.060000000000000005,-1.1000000000000001e-09
0.044,0.060000000000000005,-1e-10
0.045,0.060000000000000005,1.2e-09
0.046,0.060000000000000005,9e-10
0.047,0.060000000000000005,9e-10
0.048,0.060000000000000005,1e-09
0.049,0.060000000000000005,1.4000000000000001e-09
0.05,0.060000000000000005,3.3e-09
0.051000000000000004,0.060000000000000005,3.4000000000000003e-09
0.052000000000000005,0.05999,3.3e-09
0.053,0.060000000000000005,2e-09
0.054,0.060000000000000005,8e-10
0.055,0.060000000000000005,-2e-10
0.056,0.060000000000000005,-1e-10
0.057,0.060000000000000005,0.0
0.058,0.060000000000000005,-3e-10
0.059000000000000004,0.060000000000000005,-5e-10
0.06,-0.037520000000000005,-2.0200000000000002e-08
