time_s,voltage_V,current_A
0.0,5.0,0.0
0.1,4.7,0.0
0.2,4.4,0.0
0.30000000000000004,4.1,0.0
0.4,3.8,0.0
0.5,3.5,0.0
0.6000000000000001,3.2,0.0
0.7000000000000001,2.9,0.0
0.8,2.6,0.0
0.9,2.3000000000000003,0.0
1.0,2.0,0.0
1.1,1.8888888888888888,0.0
1.2000000000000002,1.7777777777777777,0.0
1.3,1.6666666666666667,0.0
1.4000000000000001,1.5555555555555556,0.0
1.5,1.4444444444444444,0.0
1.6,1.3333333333333335,0.0
1.7000000000000002,1.2222222222222223,0.0
1.8,1.1111111111111112,0.0
1.9000000000000001,1.0,0.0
