Time (s),Voltage (V),Current (A)
0.0,0.19751000000000002,3.5e-08
0.002,0.2,1.79e-08
0.004,0.2,2.07e-08
0.006,-0.19502000000000003,-5.62e-08
0.008,-0.2,-1.84e-08
0.01,-0.2,-1.57e-08
0.012,0.20489000000000002,6.17e-08
0.014,0.20999,2.12e-08
0.016,0.20999,2.1e-08
0.018000000000000002,-0.18502000000000002,-5.68e-08
0.02,-0.19,-2.27e-08
0.022,-0.19,-2.11e-08
0.024,0.21489000000000003,6.070000000000001e-08
0.026000000000000002,0.22000000000000003,2.29e-08
0.028,0.22000000000000003,2.37e-08
0.03,-0.17502,-5.05e-08
0.032,-0.18000000000000002,-1.52e-08
0.034,-0.18000000000000002,-1.8e-08
0.036000000000000004,0.22489,6.08e-08
0.038,0.23,2.2000000000000002e-08
0.04,0.22999000000000003,1.95e-08
0.042,-0.16502,-5.6000000000000005e-08
0.044,-0.17,-1.64e-08
0.046,-0.17,-1.62e-08
0.048,0.23489000000000002,6.35e-08
0.05,0.23999,2.8300000000000002e-08
0.052000000000000005,0.24000000000000002,2.67e-08
0.054,-0.15502000000000002,-5.3000000000000005e-08
0.056,-0.16,-1.6100000000000002e-08
0.058,-0.16,-1.7e-08
0.06,0.24489000000000002,5.93e-08
0.062,0.25,2.3100000000000002e-08
0.064,0.25,2.58e-08
0.066,-0.14502,-5.11e-08
0.068,-0.15000000000000002,-1.33e-08
0.07,-0.15000000000000002,-1.07e-08
0.07200000000000001,0.25489,6.66e-08
0.074,0.26,2.59e-08
0.076,0.26,2.59e-08
0.078,-0.13497,-5.19e-08
0.08,-0.14,-1.77e-08
0.082,-0.14,-1.59e-08
0.084,0.26489,6.57e-08
0.08600000000000001,0.26999,2.8000000000000003e-08
0.088,0.26999,2.8700000000000002e-08
0.09,-0.12502000000000002,-4.59e-08
0.092,-0.13,-1.04e-08
0.094,-0.13,-1.31e-08
0.096,0.27484000000000003,6.580000000000001e-08
0.098,0.28,2.71e-08
0.1,0.27999,2.44e-08
0.10200000000000001,-0.11502000000000001,-5.1e-08
0.10400000000000001,-0.12000000000000001,-1.13e-08
0.106,-0.12000000000000001,-1.13e-08
0.108,0.28489000000000003,6.84e-08
0.11,0.29000000000000004,3.32e-08
0.112,0.28999,3.16e-08
0.114,-0.10497000000000001,-4.81e-08
0.116,-0.11000000000000001,-1.13e-08
0.11800000000000001,-0.11000000000000001,-1.22e-08
0.12,0.29489000000000004,6.42e-08
0.122,0.29999000000000003,2.8000000000000003e-08
0.124,0.30000000000000004,3.0700000000000004e-08
0.126,-0.09502000000000001,-4.6200000000000003e-08
0.128,-0.1,-8.600000000000001e-09
0.13,-0.1,-6e-09
0.132,0.30489000000000005,7.15e-08
0.134,0.31,3.09e-08
0.136,0.31,3.09e-08
0.138,-0.08502000000000001,-4.7000000000000004e-08
0.14,-0.09000000000000001,-1.26e-08
0.14200000000000002,-0.09000000000000001,-1.1200000000000001e-08
0.14400000000000002,0.31489,7.05e-08
0.146,0.32,3.26e-08
0.148,0.32,3.36e-08
0.15,-0.07502,-4.08e-08
0.152,-0.08,-5.5000000000000004e-09
0.154,-0.08,-8e-09
0.156,0.32489,7.09e-08
0.158,0.33,3.2e-08
0.16,0.33,2.9400000000000002e-08
0.162,-0.06502000000000001,-4.61e-08
0.164,-0.07001,-6.5e-09
0.166,-0.07001,-6.4e-09
0.168,0.33489,7.33e-08
0.17,0.34,3.8200000000000005e-08
0.17200000000000001,0.34,3.6700000000000004e-08
0.17400000000000002,-0.055020000000000006,-4.3e-08
0.176,-0.060000000000000005,-6.1e-09
0.178,-0.060000000000000005,-7.1e-09
0.18,0.34489000000000003,6.93e-08
0.182,0.35000000000000003,3.31e-08
0.184,0.35000000000000003,3.58e-08
0.186,-0.045020000000000004,-4.13e-08
